sample_id	gene_id	normalized_count	raw_count	gene_length
sample1	ENSG00000001	125.5	1255	2000
sample1	ENSG00000002	89.2	892	1500
sample1	ENSG00000003	234.1	2341	3000
sample1	ENSG00000004	45.8	458	1000
sample1	ENSG00000005	156.9	1569	2500
sample2	ENSG00000001	98.3	983	2000
sample2	ENSG00000002	112.7	1127	1500
sample2	ENSG00000003	187.4	1874	3000
sample2	ENSG00000004	67.2	672	1000
sample2	ENSG00000005	203.6	2036	2500
sample3	ENSG00000001	145.8	1458	2000
sample3	ENSG00000002	76.4	764	1500
sample3	ENSG00000003	298.7	2987	3000
sample3	ENSG00000004	34.9	349	1000
sample3	ENSG00000005	128.3	1283	2500
sample4	ENSG00000001	167.2	1672	2000
sample4	ENSG00000002	134.5	1345	1500
sample4	ENSG00000003	212.8	2128	3000
sample4	ENSG00000004	89.1	891	1000
sample4	ENSG00000005	245.7	2457	2500
